,Date,Open,High,Low,Close,P/E,P/B,Div Yield %
4975,2020-01-02,12198.55,12289.9,12195.25,12282.2,28.56,3.79,1.23
4976,2020-01-03,12261.1,12265.6,12191.35,12226.65,28.44,3.77,1.23
4977,2020-01-06,12170.6,12179.1,11974.2,11993.05,27.89,3.7,1.26
4978,2020-01-07,12079.1,12152.15,12005.35,12052.95,28.03,3.72,1.25
4979,2020-01-08,11939.1,12044.95,11929.6,12025.35,27.97,3.71,1.25
4980,2020-01-09,12153.15,12224.05,12132.55,12215.9,28.41,3.77,1.23
4981,2020-01-10,12271.0,12311.2,12213.2,12256.8,28.51,3.78,1.23
4982,2020-01-13,12296.7,12337.75,12285.8,12329.55,28.67,3.8,1.22
4983,2020-01-14,12333.1,12374.25,12308.7,12362.3,28.67,3.81,1.22
4984,2020-01-15,12349.4,12355.15,12278.75,12343.3,28.63,3.81,1.22
4985,2020-01-16,12347.1,12389.05,12315.8,12355.5,28.62,3.68,1.24
4986,2020-01-17,12328.4,12385.45,12321.4,12352.35,28.61,3.67,1.24
4987,2020-01-20,12430.5,12430.5,12216.9,12224.55,28.0,3.63,1.25
4988,2020-01-21,12195.3,12230.05,12162.3,12169.85,27.84,3.45,1.25
4989,2020-01-22,12218.35,12225.05,12087.9,12106.9,27.73,3.42,1.26
4990,2020-01-23,12123.75,12189.0,12094.1,12180.35,27.88,3.43,1.25
4991,2020-01-24,12174.55,12272.15,12149.65,12248.25,28.1,3.45,1.24
4992,2020-01-27,12197.1,12216.6,12107.0,12119.0,27.73,3.42,1.25
4993,2020-01-28,12148.1,12163.55,12024.5,12055.8,26.65,3.4,1.26
4994,2020-01-29,12114.9,12169.6,12103.8,12129.5,26.81,3.42,1.26
4995,2020-01-30,12147.75,12150.3,12010.6,12035.8,26.57,3.39,1.27
4996,2020-01-31,12100.4,12103.55,11945.85,11962.1,26.41,3.37,1.27
4997,2020-02-01,11939.0,12017.35,11633.3,11661.85,25.75,3.28,1.31
4998,2020-02-03,11627.45,11749.85,11614.5,11707.9,25.9,3.3,1.30
4999,2020-02-04,11786.25,11986.15,11783.4,11979.65,26.57,3.37,1.27
5000,2020-02-05,12005.85,12098.15,11953.35,12089.15,27.05,3.4,1.26
5001,2020-02-06,12120.0,12160.6,12084.65,12137.95,27.16,3.42,1.26
5002,2020-02-07,12151.15,12154.7,12073.95,12098.35,27.03,3.41,1.26
5003,2020-02-10,12102.35,12103.55,11990.75,12031.5,26.89,3.39,1.27
5004,2020-02-11,12108.4,12172.3,12099.0,12107.9,27.21,3.41,1.26
5005,2020-02-12,12151.0,12231.75,12144.3,12201.2,27.65,3.44,1.25
5006,2020-02-13,12219.55,12225.65,12139.8,12174.65,27.59,3.43,1.25
